"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","87","Old tests for the site automationexercise.com","","","","","Test Case 1: Register User",""
"skipped","Sat Jan 04 08:49:13 GMT 2025","Sat Jan 04 08:49:14 GMT 2025","30","Tests for the sections: Sign Up, Login","","","","","Test Case 3: Login User with incorrect email and password",""
"passed","Sat Jan 04 08:48:43 GMT 2025","Sat Jan 04 08:48:43 GMT 2025","88","API tests for the site automationexercise.com","","","","","API 6: POST To Search Product without search_product parameter",""
"passed","Sat Jan 04 08:48:44 GMT 2025","Sat Jan 04 08:48:44 GMT 2025","173","API tests for the site automationexercise.com","","","","","API 13: PUT METHOD To Update User Account",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","51","Old tests for the site automationexercise.com","","","","","Test Case 25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","55","Old tests for the site automationexercise.com","","","","","Test Case 23: Verify address details in checkout page",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","79","Old tests for the site automationexercise.com","","","","","Test Case 3: Login User with incorrect email and password",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","59","Old tests for the site automationexercise.com","","","","","Test Case 19: View & Cart Brand Products",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","66","Old tests for the site automationexercise.com","","","","","Test Case 12: Add Products in Cart",""
"passed","Sat Jan 04 08:48:43 GMT 2025","Sat Jan 04 08:48:44 GMT 2025","94","API tests for the site automationexercise.com","","","","","API 10: POST To Verify Login with invalid details",""
"skipped","Sat Jan 04 08:49:11 GMT 2025","Sat Jan 04 08:49:11 GMT 2025","93","Tests for the sections: Products","","","","","Test Case 8: Verify All Products and product detail page",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","64","Old tests for the site automationexercise.com","","","","","Test Case 14: Place Order: Register while Checkout",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","77","Old tests for the site automationexercise.com","","","","","Test Case 4: Logout User",""
"skipped","Sat Jan 04 08:49:11 GMT 2025","Sat Jan 04 08:49:11 GMT 2025","84","Tests for the sections: Products","","","","","Test Case 18: View Category Products",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","56","Old tests for the site automationexercise.com","","","","","Test Case 22: Add to cart from Recommended items",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","76","Old tests for the site automationexercise.com","","","","","Test Case 5: Register User with existing email",""
"passed","Sat Jan 04 08:48:10 GMT 2025","Sat Jan 04 08:48:15 GMT 2025","4989","Browser: chrome (131.0.6778.139). Tests for the sections: Cart, Checkout, Payment","","","","","Test Case 12: Hover and click ""Add to cart"" button for two different products with different quantity",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","54","Old tests for the site automationexercise.com","","","","","Test Case 24: Download Invoice after purchase order",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","56","Old tests for the site automationexercise.com","","","","","Test Case 21: Add review on product",""
"passed","Sat Jan 04 08:49:06 GMT 2025","Sat Jan 04 08:49:07 GMT 2025","841","Browser: undefined (118.0.5993.159). Tests for the sections: Other tests","","","","","Test Case 26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality",""
"skipped","Sat Jan 04 08:49:13 GMT 2025","Sat Jan 04 08:49:14 GMT 2025","29","Tests for the sections: Sign Up, Login","","","","","Test Case 4: Logout User",""
"passed","Sat Jan 04 08:48:43 GMT 2025","Sat Jan 04 08:48:43 GMT 2025","94","API tests for the site automationexercise.com","","","","","API 8: POST To Verify Login without email parameter",""
"skipped","Sat Jan 04 08:49:11 GMT 2025","Sat Jan 04 08:49:11 GMT 2025","82","Tests for the sections: Products","","","","","Test Case 21: Add review on product",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","82","Old tests for the site automationexercise.com","","","","","Test Case 2: Login User with correct email and password",""
"passed","Sat Jan 04 08:48:51 GMT 2025","Sat Jan 04 08:48:56 GMT 2025","4696","Browser: electron (118.0.5993.159). Tests for the sections: Cart, Checkout, Payment","","","","","Test Case 12: Hover and click ""Add to cart"" button for two different products with different quantity",""
"passed","Sat Jan 04 08:48:43 GMT 2025","Sat Jan 04 08:48:43 GMT 2025","101","API tests for the site automationexercise.com","","","","","API 5: POST To Search Product (Positive test + preconditions(at least one item that contain ""top""-word in name is present)",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","65","Old tests for the site automationexercise.com","","","","","Test Case 13: Verify Product quantity in Cart",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","62","Old tests for the site automationexercise.com","","","","","Test Case 16: Place Order: Login before Checkout",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","75","Old tests for the site automationexercise.com","","","","","Test Case 6: Contact Us Form",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","61","Old tests for the site automationexercise.com","","","","","Test Case 17: Remove Products From Cart",""
"passed","Sat Jan 04 08:48:24 GMT 2025","Sat Jan 04 08:48:25 GMT 2025","1263","Browser: undefined (131.0.6778.139). Tests for the sections: Other tests","","","","","Test Case 25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality",""
"skipped","Sat Jan 04 08:49:00 GMT 2025","Sat Jan 04 08:49:00 GMT 2025","71","Tests for the sections: Contact Us, Subscriptions","","","","","Test Case 11: Verify Subscription in Cart page",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","51","Old tests for the site automationexercise.com","","","","","Test Case 26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","67","Old tests for the site automationexercise.com","","","","","Test Case 11: Verify Subscription in Cart page",""
"passed","Sat Jan 04 08:48:42 GMT 2025","Sat Jan 04 08:48:42 GMT 2025","336","API tests for the site automationexercise.com","","","","","API 1: Get All Products List",""
"skipped","Sat Jan 04 08:49:11 GMT 2025","Sat Jan 04 08:49:11 GMT 2025","87","Tests for the sections: Products","","","","","Test Case 9: Search Product",""
"passed","Sat Jan 04 08:48:25 GMT 2025","Sat Jan 04 08:48:26 GMT 2025","884","Browser: undefined (131.0.6778.139). Tests for the sections: Other tests","","","","","Test Case 26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality",""
"skipped","Sat Jan 04 08:49:11 GMT 2025","Sat Jan 04 08:49:11 GMT 2025","86","Tests for the sections: Products","","","","","Test Case 20: Search Products and Verify Cart After Login",""
"skipped","Sat Jan 04 08:49:13 GMT 2025","Sat Jan 04 08:49:14 GMT 2025","32","Tests for the sections: Sign Up, Login","","","","","Test Case 2: Login User with correct email and password",""
"passed","Sat Jan 04 08:48:42 GMT 2025","Sat Jan 04 08:48:42 GMT 2025","94","API tests for the site automationexercise.com","","","","","API 2: POST To All Products List",""
"skipped","Sat Jan 04 08:49:00 GMT 2025","Sat Jan 04 08:49:00 GMT 2025","72","Tests for the sections: Contact Us, Subscriptions","","","","","Test Case 10: Verify Subscription in home page",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","61","Old tests for the site automationexercise.com","","","","","Test Case 18: View Category Products",""
"passed","Sat Jan 04 08:48:42 GMT 2025","Sat Jan 04 08:48:42 GMT 2025","144","API tests for the site automationexercise.com","","","","","API 1(2): Get All Products List (with @alias)",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","64","Old tests for the site automationexercise.com","","","","","Test Case 15: Place Order: Register before Checkout",""
"passed","Sat Jan 04 08:48:42 GMT 2025","Sat Jan 04 08:48:42 GMT 2025","100","API tests for the site automationexercise.com","","","","","API 3: Get All Brands List",""
"passed","Sat Jan 04 08:48:22 GMT 2025","Sat Jan 04 08:48:24 GMT 2025","1875","Browser: undefined (131.0.6778.139). Tests for the sections: Other tests","","","","","Test Case 7: Verify Test Cases Page",""
"passed","Sat Jan 04 08:48:42 GMT 2025","Sat Jan 04 08:48:42 GMT 2025","90","API tests for the site automationexercise.com","","","","","API 4: PUT To All Brands List",""
"passed","Sat Jan 04 08:48:43 GMT 2025","Sat Jan 04 08:48:43 GMT 2025","91","API tests for the site automationexercise.com","","","","","API 9: DELETE To Verify Login",""
"skipped","Sat Jan 04 08:49:13 GMT 2025","Sat Jan 04 08:49:14 GMT 2025","27","Tests for the sections: Sign Up, Login","","","","","Test Case 5: Register User with existing email",""
"skipped","Sat Jan 04 08:49:16 GMT 2025","Sat Jan 04 08:49:16 GMT 2025","73","Old tests for the site automationexercise.com","","","","","Test Case 7: Verify Test Cases Page",""
"passed","Sat Jan 04 08:48:44 GMT 2025","Sat Jan 04 08:48:44 GMT 2025","97","API tests for the site automationexercise.com","","","","","API 14: GET user account detail by email",""
"passed","Sat Jan 04 08:49:02 GMT 2025","Sat Jan 04 08:49:04 GMT 2025","2034","Browser: undefined (118.0.5993.159). Tests for the sections: Other tests","","","","","Test Case 7: Verify Test Cases Page",""
"skipped","Sat Jan 04 08:49:11 GMT 2025","Sat Jan 04 08:49:11 GMT 2025","81","Tests for the sections: Products","","","","","Test Case 19: View & Cart Brand Products",""
"skipped","Sat Jan 04 08:49:13 GMT 2025","Sat Jan 04 08:49:14 GMT 2025","39","Tests for the sections: Sign Up, Login","","","","","Test Case 1: Register User",""
"skipped","Sat Jan 04 08:49:00 GMT 2025","Sat Jan 04 08:49:00 GMT 2025","78","Tests for the sections: Contact Us, Subscriptions","","","","","Test Case 6: Contact Us Form",""
