"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 04 09:30:28 GMT 2025","Sat Jan 04 09:30:30 GMT 2025","1364","Browser: chrome (131.0.6778.139). Tests for the sections: Other tests","","","","","Test Case 7: Verify Test Cases Page",""
"passed","Sat Jan 04 09:47:17 GMT 2025","Sat Jan 04 09:47:17 GMT 2025","92","API tests for the site automationexercise.com","","","","","API 4: PUT To All Brands List",""
"passed","Sat Jan 04 09:49:59 GMT 2025","Sat Jan 04 09:50:12 GMT 2025","12716","Tests for the sections: Sign Up, Login","","","","","Test Case 4: Logout User",""
"passed","Sat Jan 04 09:47:18 GMT 2025","Sat Jan 04 09:47:18 GMT 2025","93","API tests for the site automationexercise.com","","","","","API 7: POST To Verify Login with valid details",""
"passed","Sat Jan 04 09:48:56 GMT 2025","Sat Jan 04 09:48:58 GMT 2025","2178","Tests for the sections: Products","","","","","Test Case 9: Search Product",""
"passed","Sat Jan 04 09:30:31 GMT 2025","Sat Jan 04 09:30:32 GMT 2025","789","Browser: chrome (131.0.6778.139). Tests for the sections: Other tests","","","","","Test Case 26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality",""
"passed","Sat Jan 04 09:30:30 GMT 2025","Sat Jan 04 09:30:31 GMT 2025","1120","Browser: chrome (131.0.6778.139). Tests for the sections: Other tests","","","","","Test Case 25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality",""
"passed","Sat Jan 04 09:34:57 GMT 2025","Sat Jan 04 09:34:59 GMT 2025","1982","firefox. Tests for the sections: Cart, Checkout, Payment","","","","","Test Case 22: Add to cart from Recommended items",""
"passed","Sat Jan 04 09:41:54 GMT 2025","Sat Jan 04 09:42:13 GMT 2025","18361","edge. Tests for the sections: Cart, Checkout, Payment","","","","","Test Case 14: Place Order: Register while Checkout",""
"broken","Sat Jan 04 09:34:49 GMT 2025","Sat Jan 04 09:34:51 GMT 2025","2507","firefox. Tests for the sections: Cart, Checkout, Payment","","","","","Test Case 12: Hover and click ""Add to cart"" button for two different products with different quantity",""
