"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 04 08:25:28 GMT 2025","Sat Jan 04 08:25:28 GMT 2025","100","API tests for the site automationexercise.com","","","","","API 7: POST To Verify Login with valid details",""
"skipped","Sat Jan 04 08:25:57 GMT 2025","Sat Jan 04 08:25:57 GMT 2025","38","Tests for the sections: Sign Up, Login","","","","","Test Case 1: Register User",""
"passed","Sat Jan 04 08:25:46 GMT 2025","Sat Jan 04 08:25:48 GMT 2025","1995","Browser: undefined (118.0.5993.159). Tests for the sections: Other tests","","","","","Test Case 7: Verify Test Cases Page",""
"passed","Sat Jan 04 08:25:11 GMT 2025","Sat Jan 04 08:25:11 GMT 2025","784","Browser: undefined (131.0.6778.139). Tests for the sections: Other tests","","","","","Test Case 26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","78","Old tests for the site automationexercise.com","","","","","Test Case 2: Login User with correct email and password",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","62","Old tests for the site automationexercise.com","","","","","Test Case 13: Verify Product quantity in Cart",""
"passed","Sat Jan 04 08:25:50 GMT 2025","Sat Jan 04 08:25:51 GMT 2025","839","Browser: undefined (118.0.5993.159). Tests for the sections: Other tests","","","","","Test Case 26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","61","Old tests for the site automationexercise.com","","","","","Test Case 15: Place Order: Register before Checkout",""
"skipped","Sat Jan 04 08:25:57 GMT 2025","Sat Jan 04 08:25:57 GMT 2025","28","Tests for the sections: Sign Up, Login","","","","","Test Case 4: Logout User",""
"skipped","Sat Jan 04 08:25:44 GMT 2025","Sat Jan 04 08:25:45 GMT 2025","66","Tests for the sections: Contact Us, Subscriptions","","","","","Test Case 11: Verify Subscription in Cart page",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","59","Old tests for the site automationexercise.com","","","","","Test Case 16: Place Order: Login before Checkout",""
"skipped","Sat Jan 04 08:25:57 GMT 2025","Sat Jan 04 08:25:57 GMT 2025","30","Tests for the sections: Sign Up, Login","","","","","Test Case 3: Login User with incorrect email and password",""
"skipped","Sat Jan 04 08:25:55 GMT 2025","Sat Jan 04 08:25:55 GMT 2025","70","Tests for the sections: Products","","","","","Test Case 18: View Category Products",""
"passed","Sat Jan 04 08:25:35 GMT 2025","Sat Jan 04 08:25:40 GMT 2025","4808","Browser: undefined (118.0.5993.159). Tests for the sections: Cart, Checkout, Payment","","","","","Test Case 12: Hover and click ""Add to cart"" button for two different products with different quantity",""
"passed","Sat Jan 04 08:25:27 GMT 2025","Sat Jan 04 08:25:27 GMT 2025","93","API tests for the site automationexercise.com","","","","","API 4: PUT To All Brands List",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","50","Old tests for the site automationexercise.com","","","","","Test Case 26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","61","Old tests for the site automationexercise.com","","","","","Test Case 14: Place Order: Register while Checkout",""
"passed","Sat Jan 04 08:25:26 GMT 2025","Sat Jan 04 08:25:27 GMT 2025","162","API tests for the site automationexercise.com","","","","","API 1(2): Get All Products List (with @alias)",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","67","Old tests for the site automationexercise.com","","","","","Test Case 9: Search Product",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","54","Old tests for the site automationexercise.com","","","","","Test Case 21: Add review on product",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","54","Old tests for the site automationexercise.com","","","","","Test Case 22: Add to cart from Recommended items",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","69","Old tests for the site automationexercise.com","","","","","Test Case 8: Verify All Products and product detail page",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","71","Old tests for the site automationexercise.com","","","","","Test Case 6: Contact Us Form",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","58","Old tests for the site automationexercise.com","","","","","Test Case 18: View Category Products",""
"passed","Sat Jan 04 08:25:49 GMT 2025","Sat Jan 04 08:25:50 GMT 2025","1358","Browser: undefined (118.0.5993.159). Tests for the sections: Other tests","","","","","Test Case 25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","65","Old tests for the site automationexercise.com","","","","","Test Case 11: Verify Subscription in Cart page",""
"passed","Sat Jan 04 08:25:27 GMT 2025","Sat Jan 04 08:25:28 GMT 2025","104","API tests for the site automationexercise.com","","","","","API 6: POST To Search Product without search_product parameter",""
"passed","Sat Jan 04 08:25:07 GMT 2025","Sat Jan 04 08:25:09 GMT 2025","1891","Browser: undefined (131.0.6778.139). Tests for the sections: Other tests","","","","","Test Case 7: Verify Test Cases Page",""
"passed","Sat Jan 04 08:25:27 GMT 2025","Sat Jan 04 08:25:27 GMT 2025","104","API tests for the site automationexercise.com","","","","","API 5: POST To Search Product (Positive test + preconditions(at least one item that contain ""top""-word in name is present)",""
