"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 04 10:38:48 GMT 2025","Sat Jan 04 10:38:49 GMT 2025","801","electron. Tests for the sections: Other tests","","","","","Test Case 26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality",""
"passed","Sat Jan 04 10:35:21 GMT 2025","Sat Jan 04 10:35:25 GMT 2025","4014","edge. Tests for the sections: Cart, Checkout, Payment","","","","","Test Case 12: Hover and click ""Add to cart"" button for two different products with different quantity",""
"passed","Sat Jan 04 10:37:17 GMT 2025","Sat Jan 04 10:37:17 GMT 2025","96","API tests for the site automationexercise.com","","","","","API 7: POST To Verify Login with valid details",""
"passed","Sat Jan 04 10:37:25 GMT 2025","Sat Jan 04 10:37:29 GMT 2025","3874","electron. Tests for the sections: Cart, Checkout, Payment","","","","","Test Case 12: Hover and click ""Add to cart"" button for two different products with different quantity",""
"broken","Sat Jan 04 10:38:58 GMT 2025","Sat Jan 04 10:38:59 GMT 2025","1103","","","","","","An uncaught error was detected outside of a test",""
"passed","Sat Jan 04 10:33:00 GMT 2025","Sat Jan 04 10:33:02 GMT 2025","1905","firefox. Tests for the sections: Cart, Checkout, Payment","","","","","Test Case 17: Remove Products From Cart",""
"passed","Sat Jan 04 10:37:17 GMT 2025","Sat Jan 04 10:37:17 GMT 2025","109","API tests for the site automationexercise.com","","","","","API 12: DELETE METHOD To Delete User Account",""
"passed","Sat Jan 04 10:34:15 GMT 2025","Sat Jan 04 10:34:16 GMT 2025","1548","firefox. Tests for the sections: Other tests","","","","","Test Case 7: Verify Test Cases Page",""
"passed","Sat Jan 04 10:35:28 GMT 2025","Sat Jan 04 10:35:29 GMT 2025","1525","edge. Tests for the sections: Cart, Checkout, Payment","","","","","Test Case 17: Remove Products From Cart",""
"passed","Sat Jan 04 10:30:54 GMT 2025","Sat Jan 04 10:30:57 GMT 2025","2619","chrome. Tests for the sections: Cart, Checkout, Payment","","","","","Test Case 13: Verify product quantity in Cart by add from ""Product details page""",""
"passed","Sat Jan 04 10:37:16 GMT 2025","Sat Jan 04 10:37:16 GMT 2025","111","API tests for the site automationexercise.com","","","","","API 11: POST To Create/Register User Account",""
"passed","Sat Jan 04 10:33:22 GMT 2025","Sat Jan 04 10:33:39 GMT 2025","16856","firefox. Tests for the sections: Cart, Checkout, Payment","","","","","Test Case 15: Place Order: Register before Checkout",""
"passed","Sat Jan 04 10:33:02 GMT 2025","Sat Jan 04 10:33:04 GMT 2025","2091","firefox. Tests for the sections: Cart, Checkout, Payment","","","","","Test Case 22: Add to cart from Recommended items",""
"passed","Sat Jan 04 10:31:14 GMT 2025","Sat Jan 04 10:31:28 GMT 2025","13907","chrome. Tests for the sections: Cart, Checkout, Payment","","","","","Test Case 15: Place Order: Register before Checkout",""
