"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 04 08:55:26 GMT 2025","Sat Jan 04 08:55:28 GMT 2025","1215","Browser: chrome (131.0.6778.139). Tests for the sections: Other tests","","","","","Test Case 25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality",""
"skipped","Sat Jan 04 08:56:12 GMT 2025","Sat Jan 04 08:56:12 GMT 2025","26","Tests for the sections: Sign Up, Login","","","","","Test Case 3: Login User with incorrect email and password",""
"skipped","Sat Jan 04 08:56:14 GMT 2025","Sat Jan 04 08:56:14 GMT 2025","70","Old tests for the site automationexercise.com","","","","","Test Case 5: Register User with existing email",""
"passed","Sat Jan 04 08:55:43 GMT 2025","Sat Jan 04 08:55:43 GMT 2025","94","API tests for the site automationexercise.com","","","","","API 4: PUT To All Brands List",""
"skipped","Sat Jan 04 08:56:12 GMT 2025","Sat Jan 04 08:56:12 GMT 2025","33","Tests for the sections: Sign Up, Login","","","","","Test Case 1: Register User",""
"skipped","Sat Jan 04 08:56:14 GMT 2025","Sat Jan 04 08:56:14 GMT 2025","72","Old tests for the site automationexercise.com","","","","","Test Case 4: Logout User",""
"skipped","Sat Jan 04 08:56:10 GMT 2025","Sat Jan 04 08:56:10 GMT 2025","53","Tests for the sections: Products","","","","","Test Case 9: Search Product",""
"passed","Sat Jan 04 08:55:45 GMT 2025","Sat Jan 04 08:55:45 GMT 2025","103","API tests for the site automationexercise.com","","","","","API 12: DELETE METHOD To Delete User Account",""
"passed","Sat Jan 04 08:55:44 GMT 2025","Sat Jan 04 08:55:44 GMT 2025","105","API tests for the site automationexercise.com","","","","","API 11: POST To Create/Register User Account",""
"skipped","Sat Jan 04 08:56:14 GMT 2025","Sat Jan 04 08:56:14 GMT 2025","68","Old tests for the site automationexercise.com","","","","","Test Case 6: Contact Us Form",""
"skipped","Sat Jan 04 08:56:00 GMT 2025","Sat Jan 04 08:56:00 GMT 2025","66","Tests for the sections: Contact Us, Subscriptions","","","","","Test Case 10: Verify Subscription in home page",""
"skipped","Sat Jan 04 08:56:14 GMT 2025","Sat Jan 04 08:56:14 GMT 2025","56","Old tests for the site automationexercise.com","","","","","Test Case 17: Remove Products From Cart",""
"skipped","Sat Jan 04 08:56:14 GMT 2025","Sat Jan 04 08:56:14 GMT 2025","52","Old tests for the site automationexercise.com","","","","","Test Case 21: Add review on product",""
"skipped","Sat Jan 04 08:56:14 GMT 2025","Sat Jan 04 08:56:14 GMT 2025","61","Old tests for the site automationexercise.com","","","","","Test Case 12: Add Products in Cart",""
"passed","Sat Jan 04 08:56:02 GMT 2025","Sat Jan 04 08:56:04 GMT 2025","2017","Browser: electron (118.0.5993.159). Tests for the sections: Other tests","","","","","Test Case 7: Verify Test Cases Page",""
