"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 04 08:39:51 GMT 2025","Sat Jan 04 08:39:51 GMT 2025","98","API tests for the site automationexercise.com","","","","","API 12: DELETE METHOD To Delete User Account",""
"passed","Sat Jan 04 08:39:50 GMT 2025","Sat Jan 04 08:39:50 GMT 2025","87","API tests for the site automationexercise.com","","","","","API 7: POST To Verify Login with valid details",""
"skipped","Sat Jan 04 08:40:18 GMT 2025","Sat Jan 04 08:40:18 GMT 2025","76","Tests for the sections: Products","","","","","Test Case 20: Search Products and Verify Cart After Login",""
"skipped","Sat Jan 04 08:40:22 GMT 2025","Sat Jan 04 08:40:22 GMT 2025","49","Old tests for the site automationexercise.com","","","","","Test Case 26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality",""
"passed","Sat Jan 04 08:39:50 GMT 2025","Sat Jan 04 08:39:50 GMT 2025","83","API tests for the site automationexercise.com","","","","","API 9: DELETE To Verify Login",""
"skipped","Sat Jan 04 08:40:22 GMT 2025","Sat Jan 04 08:40:22 GMT 2025","82","Old tests for the site automationexercise.com","","","","","Test Case 4: Logout User",""
"skipped","Sat Jan 04 08:40:22 GMT 2025","Sat Jan 04 08:40:22 GMT 2025","78","Old tests for the site automationexercise.com","","","","","Test Case 6: Contact Us Form",""
"skipped","Sat Jan 04 08:40:22 GMT 2025","Sat Jan 04 08:40:22 GMT 2025","76","Old tests for the site automationexercise.com","","","","","Test Case 7: Verify Test Cases Page",""
"skipped","Sat Jan 04 08:40:22 GMT 2025","Sat Jan 04 08:40:22 GMT 2025","61","Old tests for the site automationexercise.com","","","","","Test Case 16: Place Order: Login before Checkout",""
"skipped","Sat Jan 04 08:40:20 GMT 2025","Sat Jan 04 08:40:20 GMT 2025","30","Tests for the sections: Sign Up, Login","","","","","Test Case 2: Login User with correct email and password",""
"skipped","Sat Jan 04 08:40:22 GMT 2025","Sat Jan 04 08:40:22 GMT 2025","49","Old tests for the site automationexercise.com","","","","","Test Case 25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality",""
"skipped","Sat Jan 04 08:40:18 GMT 2025","Sat Jan 04 08:40:18 GMT 2025","71","Tests for the sections: Products","","","","","Test Case 19: View & Cart Brand Products",""
"skipped","Sat Jan 04 08:40:18 GMT 2025","Sat Jan 04 08:40:18 GMT 2025","78","Tests for the sections: Products","","","","","Test Case 9: Search Product",""
"skipped","Sat Jan 04 08:40:20 GMT 2025","Sat Jan 04 08:40:20 GMT 2025","28","Tests for the sections: Sign Up, Login","","","","","Test Case 3: Login User with incorrect email and password",""
"passed","Sat Jan 04 08:39:50 GMT 2025","Sat Jan 04 08:39:50 GMT 2025","99","API tests for the site automationexercise.com","","","","","API 5: POST To Search Product (Positive test + preconditions(at least one item that contain ""top""-word in name is present)",""
"passed","Sat Jan 04 08:39:31 GMT 2025","Sat Jan 04 08:39:33 GMT 2025","1750","Browser: undefined (131.0.6778.139). Tests for the sections: Other tests","","","","","Test Case 7: Verify Test Cases Page",""
"passed","Sat Jan 04 08:39:34 GMT 2025","Sat Jan 04 08:39:35 GMT 2025","760","Browser: undefined (131.0.6778.139). Tests for the sections: Other tests","","","","","Test Case 26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality",""
"skipped","Sat Jan 04 08:40:22 GMT 2025","Sat Jan 04 08:40:22 GMT 2025","84","Old tests for the site automationexercise.com","","","","","Test Case 3: Login User with incorrect email and password",""
"skipped","Sat Jan 04 08:40:22 GMT 2025","Sat Jan 04 08:40:22 GMT 2025","54","Old tests for the site automationexercise.com","","","","","Test Case 22: Add to cart from Recommended items",""
"passed","Sat Jan 04 08:39:51 GMT 2025","Sat Jan 04 08:39:51 GMT 2025","83","API tests for the site automationexercise.com","","","","","API 14: GET user account detail by email",""
"passed","Sat Jan 04 08:39:48 GMT 2025","Sat Jan 04 08:39:49 GMT 2025","340","API tests for the site automationexercise.com","","","","","API 1: Get All Products List",""
"passed","Sat Jan 04 08:40:09 GMT 2025","Sat Jan 04 08:40:11 GMT 2025","2044","Browser: undefined (118.0.5993.159). Tests for the sections: Other tests","","","","","Test Case 7: Verify Test Cases Page",""
"passed","Sat Jan 04 08:40:11 GMT 2025","Sat Jan 04 08:40:13 GMT 2025","1374","Browser: undefined (118.0.5993.159). Tests for the sections: Other tests","","","","","Test Case 25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality",""
