"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 04 09:15:32 GMT 2025","Sat Jan 04 09:15:32 GMT 2025","92","API tests for the site automationexercise.com","","","","","API 9: DELETE To Verify Login",""
"skipped","Sat Jan 04 09:15:59 GMT 2025","Sat Jan 04 09:15:59 GMT 2025","46","Tests for the sections: Products","","","","","Test Case 21: Add review on product",""
"skipped","Sat Jan 04 09:16:04 GMT 2025","Sat Jan 04 09:16:04 GMT 2025","70","Old tests for the site automationexercise.com","","","","","Test Case 7: Verify Test Cases Page",""
"skipped","Sat Jan 04 09:16:04 GMT 2025","Sat Jan 04 09:16:04 GMT 2025","58","Old tests for the site automationexercise.com","","","","","Test Case 18: View Category Products",""
"passed","Sat Jan 04 09:15:14 GMT 2025","Sat Jan 04 09:15:16 GMT 2025","1160","Browser: chrome (131.0.6778.139). Tests for the sections: Other tests","","","","","Test Case 25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality",""
"passed","Sat Jan 04 09:15:53 GMT 2025","Sat Jan 04 09:15:55 GMT 2025","1361","Browser: electron (118.0.5993.159). Tests for the sections: Other tests","","","","","Test Case 25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality",""
"skipped","Sat Jan 04 09:16:01 GMT 2025","Sat Jan 04 09:16:01 GMT 2025","34","Tests for the sections: Sign Up, Login","","","","","Test Case 1: Register User",""
"passed","Sat Jan 04 09:15:31 GMT 2025","Sat Jan 04 09:15:31 GMT 2025","114","API tests for the site automationexercise.com","","","","","API 4: PUT To All Brands List",""
"skipped","Sat Jan 04 09:16:01 GMT 2025","Sat Jan 04 09:16:01 GMT 2025","29","Tests for the sections: Sign Up, Login","","","","","Test Case 2: Login User with correct email and password",""
"skipped","Sat Jan 04 09:16:04 GMT 2025","Sat Jan 04 09:16:04 GMT 2025","84","Old tests for the site automationexercise.com","","","","","Test Case 1: Register User",""
"skipped","Sat Jan 04 09:16:04 GMT 2025","Sat Jan 04 09:16:04 GMT 2025","55","Old tests for the site automationexercise.com","","","","","Test Case 20: Search Products and Verify Cart After Login",""
"skipped","Sat Jan 04 09:15:49 GMT 2025","Sat Jan 04 09:15:49 GMT 2025","70","Tests for the sections: Contact Us, Subscriptions","","","","","Test Case 6: Contact Us Form",""
"passed","Sat Jan 04 09:15:32 GMT 2025","Sat Jan 04 09:15:32 GMT 2025","99","API tests for the site automationexercise.com","","","","","API 5: POST To Search Product (Positive test + preconditions(at least one item that contain ""top""-word in name is present)",""
"passed","Sat Jan 04 09:15:31 GMT 2025","Sat Jan 04 09:15:31 GMT 2025","91","API tests for the site automationexercise.com","","","","","API 2: POST To All Products List",""
"passed","Sat Jan 04 09:15:32 GMT 2025","Sat Jan 04 09:15:33 GMT 2025","215","API tests for the site automationexercise.com","","","","","API 13: PUT METHOD To Update User Account",""
"skipped","Sat Jan 04 09:16:04 GMT 2025","Sat Jan 04 09:16:04 GMT 2025","62","Old tests for the site automationexercise.com","","","","","Test Case 14: Place Order: Register while Checkout",""
"skipped","Sat Jan 04 09:15:49 GMT 2025","Sat Jan 04 09:15:49 GMT 2025","63","Tests for the sections: Contact Us, Subscriptions","","","","","Test Case 11: Verify Subscription in Cart page",""
"passed","Sat Jan 04 09:15:31 GMT 2025","Sat Jan 04 09:15:31 GMT 2025","117","API tests for the site automationexercise.com","","","","","API 3: Get All Brands List",""
"skipped","Sat Jan 04 09:16:04 GMT 2025","Sat Jan 04 09:16:04 GMT 2025","72","Old tests for the site automationexercise.com","","","","","Test Case 6: Contact Us Form",""
"passed","Sat Jan 04 09:15:41 GMT 2025","Sat Jan 04 09:15:45 GMT 2025","4655","Browser: electron (118.0.5993.159). Tests for the sections: Cart, Checkout, Payment","","","","","Test Case 12: Hover and click ""Add to cart"" button for two different products with different quantity",""
"passed","Sat Jan 04 09:15:13 GMT 2025","Sat Jan 04 09:15:14 GMT 2025","1774","Browser: chrome (131.0.6778.139). Tests for the sections: Other tests","","","","","Test Case 7: Verify Test Cases Page",""
"skipped","Sat Jan 04 09:16:04 GMT 2025","Sat Jan 04 09:16:04 GMT 2025","56","Old tests for the site automationexercise.com","","","","","Test Case 19: View & Cart Brand Products",""
"passed","Sat Jan 04 09:15:32 GMT 2025","Sat Jan 04 09:15:32 GMT 2025","87","API tests for the site automationexercise.com","","","","","API 6: POST To Search Product without search_product parameter",""
"passed","Sat Jan 04 09:15:32 GMT 2025","Sat Jan 04 09:15:32 GMT 2025","94","API tests for the site automationexercise.com","","","","","API 10: POST To Verify Login with invalid details",""
